symbol,strategy,stochOverBought,stochOverSold,willOverSold,willOverBought
ACH,big_will,0.6,0.4,-60,-10
UNFI,big_will,0.9,0.4,-70,-40
SLP,big_will,0.9,0.3,-60,-40
SHIB,big_will,0.6,0.2,-60,-20
HFT,big_will,0.7,0.4,-70,-10
TRU,big_will,0.6,0.2,-60,-20
KEY,big_will,0.6,0.1,-70,-30
COTI,big_will,0.6,0.4,-60,-40
STORJ,big_will,0.7,0.1,-60,-30
NKN,big_will,0.9,0.4,-70,-40
INJ,big_will,0.6,0.1,-60,-10
MDT,big_will,0.9,0.4,-90,-30
LIT,big_will,0.8,0.3,-60,-20
RNDR,big_will,0.7,0.2,-80,-20
STMX,big_will,0.6,0.1,-90,-10
ASTR,big_will,0.6,0.3,-60,-10
GRT,big_will,0.7,0.1,-70,-20
LEVER,big_will,0.6,0.2,-60,-30
TLM,big_will,0.8,0.3,-70,-40
ZIL,big_will,0.7,0.2,-60,-30
APE,big_will,0.8,0.4,-60,-40
DUSK,big_will,0.6,0.2,-80,-10
RAD,big_will,0.8,0.4,-90,-40
YFI,big_will,0.9,0.4,-90,-40
ICP,big_will,0.7,0.4,-80,-20
JOE,big_will,0.6,0.4,-90,-10
BLUR,big_will,0.6,0.1,-60,-40
CRV,big_will,0.9,0.2,-70,-10
HOT,big_will,0.7,0.2,-60,-40
JASMY,big_will,0.8,0.3,-70,-10
UMA,big_will,0.9,0.1,-80,-40
MANA,big_will,0.9,0.4,-60,-20
LUNC,big_will,0.6,0.2,-60,-20
ALPHA,big_will,0.9,0.3,-60,-20
AXS,big_will,0.8,0.3,-70,-10
SPELL,big_will,0.7,0.4,-90,-10
XRP,big_will,0.6,0.3,-60,-30
LINK,big_will,0.9,0.3,-90,-10
MATIC,big_will,0.6,0.1,-90,-20
TRX,big_will,0.9,0.2,-60,-20
BNB,big_will,0.8,0.2,-90,-20
FLOKI,big_will,0.6,0.4,-80,-20
